,Frame,prox,dist,prox_filtered,dist_filtered
198,198,34,31,33.0,28.0
199,199,34,30,33.0,28.0
200,200,34,28,33.0,28.0
201,201,36,28,33.0,28.0
202,202,35,31,33.0,28.0
203,203,33,26,33.0,28.0
204,204,34,31,33.0,28.0
205,205,32,29,33.0,28.0
206,206,31,31,33.0,28.0
207,207,33,29,33.0,28.0
208,208,34,27,33.0,28.0
209,209,33,30,32.0,28.0
210,210,33,29,32.0,28.0
211,211,36,30,32.0,28.0
212,212,33,26,32.0,28.0
213,213,33,31,32.0,27.0
214,214,33,30,32.0,27.0
215,215,32,30,32.0,27.0
216,216,33,30,32.0,27.0
217,217,33,31,32.0,27.0
218,218,33,30,32.0,27.0
219,219,33,28,32.0,27.0
220,220,32,26,32.0,27.0
221,221,32,28,32.0,27.0
222,222,34,29,32.0,27.0
223,223,34,26,32.0,27.0
224,224,33,26,32.0,27.0
225,225,34,28,32.0,27.0
226,226,41,28,32.0,27.0
227,227,33,23,32.0,27.0
228,228,33,26,32.0,26.0
229,229,33,23,32.0,26.0
230,230,32,26,32.0,26.0
231,231,33,26,32.0,26.0
232,232,32,26,31.0,26.0
233,233,34,22,31.0,26.0
234,234,33,25,31.0,26.0
235,235,32,23,31.0,26.0
236,236,33,27,31.0,26.0
237,237,32,26,31.0,26.0
238,238,32,25,31.0,26.0
239,239,30,26,31.0,26.0
240,240,32,28,31.0,26.0
241,241,32,26,31.0,26.0
242,242,30,28,31.0,26.0
243,243,31,23,31.0,26.0
244,244,28,26,31.0,26.0
245,245,27,26,31.0,25.0
246,246,30,27,31.0,25.0
247,247,31,27,31.0,25.0
248,248,31,27,31.0,25.0
249,249,29,28,30.0,25.0
250,250,29,27,30.0,25.0
251,251,27,25,30.0,25.0
252,252,28,26,30.0,25.0
253,253,27,24,30.0,25.0
254,254,29,26,30.0,25.0
255,255,30,22,30.0,25.0
256,256,24,26,30.0,25.0
257,257,23,23,30.0,25.0
258,258,27,22,30.0,25.0
259,259,27,26,30.0,25.0
260,260,28,19,30.0,25.0
261,261,29,21,30.0,25.0
262,262,28,21,30.0,25.0
263,263,30,18,30.0,25.0
264,264,29,22,30.0,25.0
265,265,28,22,30.0,25.0
266,266,28,21,30.0,25.0
267,267,28,22,30.0,25.0
268,268,28,27,30.0,25.0
269,269,25,23,30.0,25.0
270,270,27,23,30.0,25.0
271,271,28,25,30.0,25.0
272,272,30,22,30.0,25.0
273,273,31,20,30.0,25.0
274,274,27,22,30.0,25.0
275,275,27,25,30.0,25.0
276,276,29,23,30.0,25.0
277,277,28,20,30.0,25.0
278,278,30,23,30.0,25.0
279,279,32,21,29.0,25.0
280,280,27,20,29.0,25.0
281,281,31,16,29.0,25.0
282,282,27,22,29.0,25.0
283,283,31,22,29.0,25.0
284,284,31,22,29.0,25.0
285,285,30,24,29.0,25.0
286,286,31,27,29.0,25.0
287,287,31,25,29.0,25.0
288,288,28,26,29.0,25.0
289,289,28,26,29.0,25.0
290,290,24,25,29.0,26.0
291,291,24,26,29.0,26.0
292,292,24,26,29.0,26.0
293,293,28,22,29.0,26.0
294,294,31,25,29.0,26.0
295,295,30,22,29.0,26.0
296,296,30,26,29.0,26.0
297,297,29,23,29.0,26.0
298,298,32,25,29.0,26.0
299,299,28,26,29.0,26.0
300,300,28,27,29.0,26.0
301,301,30,26,29.0,26.0
302,302,29,27,29.0,26.0
303,303,31,28,29.0,26.0
304,304,32,29,29.0,26.0
305,305,30,26,29.0,26.0
306,306,31,26,29.0,26.0
307,307,31,24,29.0,26.0
308,308,30,26,29.0,26.0
309,309,30,27,29.0,26.0
310,310,31,24,29.0,26.0
311,311,30,26,29.0,26.0
312,312,31,23,29.0,26.0
313,313,31,27,29.0,26.0
314,314,30,26,29.0,27.0
315,315,30,23,29.0,27.0
316,316,31,25,29.0,27.0
317,317,31,27,29.0,27.0
318,318,30,24,29.0,27.0
319,319,27,27,29.0,27.0
320,320,29,27,29.0,27.0
321,321,29,26,29.0,27.0
322,322,31,30,29.0,27.0
323,323,31,30,29.0,27.0
324,324,29,30,29.0,27.0
325,325,32,30,29.0,27.0
326,326,29,30,29.0,27.0
327,327,31,30,29.0,27.0
328,328,30,30,29.0,27.0
329,329,31,31,29.0,27.0
330,330,29,30,29.0,28.0
331,331,29,31,29.0,28.0
332,332,29,31,29.0,28.0
333,333,29,31,29.0,28.0
334,334,28,31,29.0,28.0
335,335,27,30,29.0,28.0
336,336,31,31,29.0,28.0
337,337,28,31,29.0,28.0
338,338,28,30,29.0,28.0
339,339,28,30,29.0,28.0
340,340,31,29,29.0,28.0
341,341,32,30,29.0,28.0
342,342,27,30,29.0,28.0
343,343,32,30,29.0,28.0
344,344,26,31,29.0,28.0
345,345,31,29,29.0,28.0
346,346,30,30,29.0,28.0
347,347,28,30,29.0,28.0
348,348,30,27,29.0,28.0
349,349,28,29,29.0,28.0
350,350,26,31,29.0,28.0
351,351,27,30,29.0,28.0
352,352,27,30,29.0,28.0
353,353,28,31,29.0,28.0
354,354,27,28,29.0,28.0
355,355,27,30,29.0,28.0
356,356,26,27,29.0,28.0
357,357,27,28,29.0,28.0
358,358,31,31,29.0,28.0
359,359,28,25,29.0,28.0
360,360,30,30,29.0,28.0
361,361,28,28,29.0,28.0
362,362,28,27,29.0,28.0
363,363,27,28,29.0,29.0
364,364,31,30,29.0,29.0
365,365,27,30,29.0,29.0
366,366,30,31,29.0,29.0
367,367,28,26,29.0,29.0
